Date,AAPL,GS,JNJ,JPM,KO,MSFT,NVDA,TSLA,WMT,XOM
2022-10-11,136.4342498779297,268.4784851074219,145.97105407714844,93.78975677490234,48.77685546875,218.5545654296875,11.557356834411621,216.5,42.307064056396484,86.52063751220703
2022-10-12,135.8059844970703,269.4822082519531,145.9351806640625,95.30757141113281,49.36775207519531,218.88424682617188,11.47157096862793,217.24000549316406,41.82872772216797,86.9002685546875
2022-10-13,140.37081909179688,280.2137756347656,148.14181518554688,100.60600280761719,50.021339416503906,227.1160125732422,11.930432319641113,221.72000122070312,42.18269348144531,89.93733978271484
2022-10-14,135.84524536132812,273.7529296875,147.52291870117188,102.28015899658203,49.22450256347656,221.60874938964844,11.199244499206543,204.99000549316406,41.59275817871094,87.57125854492188
2022-10-17,139.8014373779297,279.8852233886719,149.4335174560547,106.57593536376953,49.86018371582031,230.3059844970703,11.858609199523926,219.35000610351562,41.89250564575195,88.833740234375
2022-10-18,141.11688232421875,286.4007873535156,148.91323852539062,109.3171615600586,50.53166961669922,231.24647521972656,11.937413215637207,220.19000244140625,42.77583312988281,88.99268341064453
2022-10-19,141.224853515625,284.4935607910156,147.729248046875,107.17385864257812,50.10190963745117,229.2878875732422,12.02120590209961,222.0399932861328,42.65465545654297,91.63243103027344
2022-10-20,140.76344299316406,283.6266784667969,148.10592651367188,106.82431030273438,49.31403732299805,228.9679412841797,12.16385555267334,207.27999877929688,42.75988006591797,91.75601959228516
2022-10-21,144.57241821289062,296.6668701171875,151.33523559570312,112.43550872802734,50.10190963745117,234.75637817382812,12.435179710388184,214.44000244140625,43.62407684326172,93.4599609375
2022-10-24,146.71246337890625,299.9520568847656,153.3714141845703,112.573486328125,51.54336929321289,239.7303924560547,12.567852973937988,211.25,44.45638656616211,94.11328125
2022-10-25,149.549560546875,303.328369140625,153.12921142578125,112.86784362792969,52.77891159057617,243.03663635253906,13.228216171264648,222.4199981689453,44.666839599609375,93.47760772705078
2022-10-26,146.61427307128906,306.3306579589844,154.47476196289062,114.16486358642578,53.1728515625,224.2848358154297,12.864116668701172,224.63999938964844,45.008056640625,94.59002685546875
2022-10-27,142.14767456054688,307.6902770996094,154.56443786621094,114.61559295654297,53.29819107055664,219.8538360595703,13.143424034118652,225.08999633789062,44.87730026245117,94.95199584960938
2022-10-28,152.88723754882812,311.9245300292969,156.86077880859375,115.97699737548828,54.39942932128906,228.69644165039062,13.799800872802734,228.52000427246094,45.44493103027344,97.73301696777344
2022-10-31,150.53121948242188,314.3792419433594,156.05348205566406,115.79302215576172,53.584693908691406,225.0701904296875,13.463632583618164,227.5399932861328,45.38752365112305,97.83014678955078
2022-11-01,147.8905029296875,318.0932922363281,155.26412963867188,117.88111877441406,53.39668273925781,221.2306365966797,13.509520530700684,227.82000732421875,45.18344497680664,98.8012924194336
